Service       | Resource             | Short Names | Verb
repository    | Plugin               | rp          | register, update, deregister, enable, disable, get_versions, get, list
repository    | DashboardTemplate    |             | register, update, deregister, enable, disable, get, list
repository    | Repository           |             | list
secret        | TrustedSecret        |             | create, update, delete, update_data, get_data, get, list, stat
secret        | Health               |             | Check, Watch
secret        | ServerInfo           |             | get_version
secret        | Secret               |             | create, update, delete, enable, disable, update_data, get_data, get, list, stat
secret        | UserSecret           |             | create, update, delete, update_data, get_data, get, list, stat
statistics    | Schedule             |             | add, update, enable, disable, delete, get, list, stat
statistics    | Health               |             | Check, Watch
statistics    | ServerInfo           |             | get_version
statistics    | History              |             | create, list, stat
statistics    | Resource             |             | stat
